Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.22061011561018498,0.3009768487227368,MN8014,MN8014,4.117806895718057,4.180670123624573,SSPG,SSPG,0.0879452415528398,0.08469190202740441,7,4.808861006729835,208.4,4.1,29.9,168.3,4.9,41.1,190.2,5.8,38.4
0.21283788379169535,0.29616361436258515,MN8014,MN8014,4.498033594912847,4.167330254719488,SSPG,SSPG,0.08473171808089326,0.08268957863522916,2,4.846195191936754,161.1,3.4,26.0,127.4,4.6,38.6,202.4,5.1,42.0
0.20152321044608154,0.3121750236198081,MN8014,MN8014,4.843457730519361,4.057145555281214,SSPG,SSPG,0.08347332418242208,0.06876898163613653,6,4.410728530353708,154.8,3.1,28.2,116.3,4.3,42.4,206.6,4.7,35.6
0.20153511656110273,0.317557270607189,U12,MN8014,4.215104648695386,5.078349115125588,CPG,SSPG,0.09612792773562134,0.0744393317648556,1,4.345930499733127,140.6,2.1,28.3,98.9,4.8,42.4,185.5,4.4,38.4
0.24679560078603646,0.30232666783317946,MN8014,MN8014,4.460498338587015,4.704291032079149,SSPG,CPG,0.08094906459898484,0.0891309585650129,4,2.675093909542758,162.4,3.5,26.7,136.3,4.9,37.9,141.1,5.1,36.2
0.24688792776072066,0.2894142242306549,U12,MN8014,4.12332792842526,4.588233004952914,SSPG,SSPG,0.08680456513924385,0.08008826132583151,3,2.9900423169309147,155.4,3.1,28.4,118.1,4.0,43.4,123.9,4.8,34.8
0.2306394295983028,0.27838919137774754,MN8014,VT8020,4.044832705040483,4.05585686019083,SSPG,CPG,0.10085352646894069,0.08389618082656769,7,2.1460489168950425,175.3,4.2,27.6,118.9,4.2,41.2,155.6,5.6,33.8
0.22132313903845557,0.2830040860298215,MN8014,MN8014,4.175646797379396,4.9495917121151844,SSPG,CPG,0.094725907770884,0.0741571957332832,0,2.1408916802176594,139.8,3.5,30.3,111.1,4.1,42.4,162.5,5.3,38.5
0.23526882445357017,0.29197853705806964,MN8014,MN8014,4.067840889156995,4.277956618393987,SSPG,CPG,0.10755245824506024,0.06328723795215783,4,3.0089399566626103,114.0,3.1,30.5,92.7,3.7,43.1,156.5,4.9,40.5
0.21458072406062376,0.29084657450561924,MN8014,VT8020,4.093034252311832,6.384237369657479,SSPG,CPG,0.11099412504219727,0.07254842834217154,1,2.18431368339213,139.1,4.4,27.3,103.6,3.3,38.8,182.4,5.5,44.2
0.2280151928476111,0.299535262947447,MN8014,VT8020,4.031051281507214,4.571656438319323,SSPG,SSPG,0.10606838118774078,0.0580746022932533,0,2.687974543244011,174.1,3.0,32.5,98.1,3.7,38.4,154.7,5.0,40.6
0.2097447112703198,0.30201055102641894,MN8014,VT8020,4.043118659651269,4.089639101181951,SSPG,CPG,0.11568643303271747,0.07580038073695644,6,2.7171963019001035,121.0,2.9,34.7,63.5,3.4,39.6,194.4,5.6,39.9
0.24046492457143287,0.2956807992641053,MN8014,VT8020,4.299716044541629,4.051565988720511,CPG,CPG,0.10296854966934813,0.07126623506692692,2,2.2603209372954454,135.3,2.4,31.7,89.2,3.5,44.1,151.9,5.2,43.3
0.2340104291433288,0.3141797636599445,MN8014,VT8020,4.828564464433465,4.027467374411361,SSPG,CPG,0.12319825628214383,0.06463492426519002,7,1.777139144585374,132.9,3.3,31.4,124.1,3.9,45.5,135.6,5.2,42.7
0.23302546700894045,0.3165167536757564,MN8014,VT8020,4.057771700896239,4.038312642660454,SSPG,CPG,0.13167869156464101,0.06084434687821171,0,2.217422324357795,103.8,3.7,35.3,128.1,3.6,42.4,149.6,4.5,41.8
0.23557402288395934,0.3306582457510214,MN8014,VT8020,4.029215166179342,4.03353587496719,SSPG,CPG,0.11480492546072493,0.07188252343915529,1,2.247222335184267,56.9,3.4,37.4,94.5,4.0,40.6,162.5,4.7,43.1
